,x [nm],y [nm],n_match,C1_id,C2_id,C3_id,C4_id,C1_posX,C1_posY,C2_posX,C2_posY,C3_posX,C3_posY,C4_posX,C4_posY,C1_sigma,C2_sigma,C3_sigma,C4_sigma,C1_int,C2_int,C3_int,C4_int
693,301.4853473318428,113579.29588599844,2,,,16,2,,,,,331.2509558739989,113568.5126738154,271.71973878968663,113590.07909818146,,,111.45590248751355,110.25842669134174,,,21643.594212965923,3430.832423644781
694,79420.27858573245,83387.97528207253,2,,,7945,4352,,,,,79376.87191431983,83435.23605081133,79463.68525714507,83340.71451333373,,,110.46439619163174,173.47462745844595,,,122961.168916629,20968.676206174023
695,69690.88701437283,50586.170959263225,2,1367,,6951,,69640.35098560769,50541.12516386012,,,69741.42304313798,50631.216754666326,,,358.11300847789084,,153.18571259795968,,2309814.733567788,,101693.42714105816,
696,123452.0241164406,66086.51102183448,2,,8314,,7482,,,123397.69715093636,66035.50482659403,,,123506.35108194484,66137.51721707494,,244.3409502367056,,95.78949623067705,,61640.19846318983,,1922.704004181039
697,47167.4556976599,38546.480525520885,2,,3366,4499,,,,47197.52280707273,38519.68635344823,47137.38858824707,38573.27469759354,,,,134.2159243651283,154.60102518351428,,,52880.94486188182,31782.140841307075,
698,69463.15208391569,10788.750155199741,2,1364,,6924,,69465.82131599965,10827.49382084202,,,69460.48285183171,10750.00648955746,,,285.37630629607,,104.30462959631387,,235211.1841644999,,67053.57744556885,
699,69582.83744079614,50470.556642877724,2,1363,5100,,,69567.18195396071,50473.911156608105,69598.49292763158,50467.20212914735,,,,,437.8580302616164,215.05987443138096,,,3543987.33167506,726197.7146362254,,
700,69427.19095175664,35728.89807177174,2,1362,,6916,,69476.37200432894,35750.9457901125,,,69378.00989918433,35706.850353430986,,,151.93116791370971,,107.05188252742737,,82411.93590920715,,41814.21070254727,
701,99508.72313272182,101656.37792238251,2,,,9766,5816,,,,,99509.1521075905,101621.75228349118,99508.29415785312,101691.00356127384,,,183.59682340856415,79.29875009937608,,,34176.13148436877,2062.0453219535025
702,69470.09696908107,17897.39052230562,2,1360,,6932,,69434.2233396814,17940.848238118066,,,69505.97059848075,17853.932806493172,,,119.5881003713194,,114.64710508726505,,13076.36243236784,,106828.3004472838,
