,x [nm],y [nm],n_match,C1_id,C2_id,C3_id,C4_id,C1_posX,C2_posX,C3_posX,C4_posX,C1_posY,C2_posY,C3_posY,C4_posY,C1_sigma,C2_sigma,C3_sigma,C4_sigma,C1_int,C2_int,C3_int,C4_int,C1_int_sig,C2_int_sig,C3_int_sig,C4_int_sig
9652,17323.098070342425,44937.398755407536,1,,,1049,,,,17323.098070342425,,,,44937.398755407536,,0.0,0.0,108.10523424649271,0.0,104.5663773255224,116.09011184074858,66406.8177861351,55.75037519408884,,,5.682235447040039,
9653,17309.322695741317,47987.2902268283,1,,,1050,,,,17309.322695741317,,,,47987.2902268283,,0.0,0.0,109.71933072642356,0.0,104.5663773255224,116.09011184074858,62481.05150768792,55.75037519408884,,,5.190175343298187,
9654,17399.715219435875,18987.22940751141,1,,,1051,,,,17399.715219435875,,,,18987.22940751141,,0.0,0.0,104.67441646739479,0.0,104.5663773255224,116.09011184074858,95921.59312475126,55.75037519408884,,,8.75457940548728,
9655,17397.144035655252,79021.51014328883,1,,,1052,,,,17397.144035655252,,,,79021.51014328883,,0.0,0.0,109.1499660998157,0.0,104.5663773255224,116.09011184074858,63931.69827927369,55.75037519408884,,,5.366226885975218,
9656,17383.635392801076,101239.39689817373,1,,,1053,,,,17383.635392801076,,,,101239.39689817373,,0.0,0.0,101.84211984277799,0.0,104.5663773255224,116.09011184074858,26148.69792573976,55.75037519408884,,,2.521129806152464,
9657,17417.020365451364,113030.56824704511,1,,,1054,,,,17417.020365451364,,,,113030.56824704511,,0.0,0.0,112.70088978521184,0.0,104.5663773255224,116.09011184074858,45844.058861446,55.75037519408884,,,3.609344797032914,
9658,17420.643513399238,26054.475128725684,1,,,1055,,,,17420.643513399238,,,,26054.475128725684,,0.0,0.0,102.53753949063619,0.0,104.5663773255224,116.09011184074858,117491.85676214856,55.75037519408884,,,11.174857235686918,
9659,17447.282447601767,52314.9807286165,1,,,1056,,,,17447.282447601767,,,,52314.9807286165,,0.0,0.0,120.34120727752578,0.0,104.5663773255224,116.09011184074858,52271.30642325631,55.75037519408884,,,3.609396779232339,
9660,17411.392138160252,121079.0235070541,1,,,1058,,,,17411.392138160252,,,,121079.0235070541,,0.0,0.0,123.32235630895842,0.0,104.5663773255224,116.09011184074858,27890.04592451001,55.75037519408884,,,1.833857564616859,
9661,17463.77598645966,23277.52364821684,1,,,1059,,,,17463.77598645966,,,,23277.52364821684,,0.0,0.0,120.99728387107176,0.0,104.5663773255224,116.09011184074858,29691.804587026112,55.75037519408884,,,2.028081253764325,
